,animal_id,breed,age,Success,Sex,Size,life_expectancy,Percent through Life
0,A692618,Chihuahua Shorthair Mix,3.043630449480672,0,Female,small,15,0.2029086966320448
1,A690699,Chihuahua Shorthair Mix,0.38536611520656366,0,Female,small,15,0.025691074347104246
2,A677038,Chihuahua Shorthair Mix,2.011106776091683,1,Female,small,15,0.13407378507277887
3,A665344,Chihuahua Shorthair Mix,4.04865526936822,1,Female,small,15,0.2699103512912147
4,A677479,Chihuahua Shorthair Mix,1.0177123570109052,1,Female,small,15,0.06784749046739368
5,A666831,Chihuahua Shorthair Mix,1.0120939436736476,1,Male,small,15,0.06747292957824318
6,A674267,Chihuahua Shorthair Mix,3.0244822123505464,1,Female,small,15,0.2016321474900364
7,A671481,Chihuahua Shorthair Mix,0.1273316890680697,1,Female,small,15,0.008488779271204646
8,A668644,Chihuahua Shorthair Mix,1.6856019554740267,1,Male,small,15,0.11237346369826845
9,A687494,Chihuahua Shorthair Mix,9.02316041168995,0,Male,small,15,0.6015440274459967
10,A661614,Chihuahua Shorthair Mix,0.47530826171044654,1,Female,small,15,0.0316872174473631
11,A663020,Chihuahua Shorthair Mix,0.2237174236599276,1,Female,small,15,0.014914494910661841
12,A683813,Chihuahua Shorthair Mix,4.029461400454645,1,Female,small,15,0.26863076003030967
13,A682822,Chihuahua Shorthair Mix,0.16287694705116007,1,Female,small,15,0.010858463136744005
14,A682584,Chihuahua Shorthair Mix,1.0368453835465479,1,Male,small,15,0.06912302556976986
15,A665817,Chihuahua Shorthair Mix,0.2209148716263852,0,Male,small,15,0.014727658108425681
16,A664618,Chihuahua Shorthair Mix,0.2374582944512512,1,Female,small,15,0.015830552963416747
17,A676786,Chihuahua Shorthair Mix,1.0151436678675432,1,Female,small,15,0.06767624452450288
18,A666700,Chihuahua Shorthair Mix,2.0171472834258517,1,Female,small,15,0.13447648556172345
19,A684635,Chihuahua Shorthair Mix,1.031588221828268,1,Male,small,15,0.06877254812188453
20,A671089,Chihuahua Shorthair Mix,0.2802761179216548,1,Male,small,15,0.01868507452811032
21,A672217,Chihuahua Shorthair Mix,1.5187702538572165,0,Male,small,15,0.10125135025714777
